id,plan,age,gender,is_smoker,is_waiver,price
190,anumax,24,male,Yes,Yes,128
191,anumax,24,female,No,Yes,123
192,anumax,24,female,Yes,Yes,125
193,anumax,25,male,No,No,116
194,anumax,25,male,Yes,No,118
195,anumax,25,female,No,No,114
196,anumax,25,female,Yes,No,116
197,anumax,25,male,No,Yes,128
198,anumax,25,male,Yes,Yes,130
199,anumax,25,female,No,Yes,125
200,anumax,25,female,Yes,Yes,128
201,anumax,26,male,No,No,118
202,anumax,26,male,Yes,No,120
203,anumax,26,female,No,No,116
204,anumax,26,female,Yes,No,118
205,anumax,26,male,No,Yes,130
206,anumax,26,male,Yes,Yes,132
207,anumax,26,female,No,Yes,128
208,anumax,26,female,Yes,Yes,130
209,anumax,27,male,No,No,122
210,anumax,27,male,Yes,No,124
211,anumax,27,female,No,No,120
212,anumax,27,female,Yes,No,122
213,anumax,27,male,No,Yes,134
214,anumax,27,male,Yes,Yes,136
215,anumax,27,female,No,Yes,132
216,anumax,27,female,Yes,Yes,134
217,anumax,28,male,No,No,126
218,anumax,28,male,Yes,No,128
219,anumax,28,female,No,No,124
220,anumax,28,female,Yes,No,126
221,anumax,28,male,No,Yes,139
222,anumax,28,male,Yes,Yes,141
223,anumax,28,female,No,Yes,136
224,anumax,28,female,Yes,Yes,139
225,anumax,29,male,No,No,130
226,anumax,29,male,Yes,No,132
227,anumax,29,female,No,No,128
228,anumax,29,female,Yes,No,130
229,anumax,29,male,No,Yes,143
230,anumax,29,male,Yes,Yes,145
231,anumax,29,female,No,Yes,141
232,anumax,29,female,Yes,Yes,143
233,anumax,30,male,No,No,134
234,anumax,30,male,Yes,No,136
235,anumax,30,female,No,No,132
236,anumax,30,female,Yes,No,134
237,anumax,30,male,No,Yes,147
238,anumax,30,male,Yes,Yes,150
239,anumax,30,female,No,Yes,145
240,anumax,30,female,Yes,Yes,147
241,anumax,31,male,No,No,138
242,anumax,31,male,Yes,No,141
243,anumax,31,female,No,No,136
244,anumax,31,female,Yes,No,139
245,anumax,31,male,No,Yes,152
246,anumax,31,male,Yes,Yes,155
247,anumax,31,female,No,Yes,150
248,anumax,31,female,Yes,Yes,152
249,anumax,32,male,No,No,142
250,anumax,32,male,Yes,No,145
251,anumax,32,female,No,No,140
252,anumax,32,female,Yes,No,143
253,anumax,32,male,No,Yes,156
254,anumax,32,male,Yes,Yes,160
255,anumax,32,female,No,Yes,154
256,anumax,32,female,Yes,Yes,157
257,anumax,33,male,No,No,146
258,anumax,33,male,Yes,No,149
259,anumax,33,female,No,No,144
260,anumax,33,female,Yes,No,147
261,anumax,33,male,No,Yes,161
262,anumax,33,male,Yes,Yes,164
263,anumax,33,female,No,Yes,158
264,anumax,33,female,Yes,Yes,162
265,anumax,34,male,No,No,150
266,anumax,34,male,Yes,No,153
267,anumax,34,female,No,No,148
268,anumax,34,female,Yes,No,151
269,anumax,34,male,No,Yes,165
270,anumax,34,male,Yes,Yes,168
271,anumax,34,female,No,Yes,163
272,anumax,34,female,Yes,Yes,166
273,anumax,35,male,No,No,155
274,anumax,35,male,Yes,No,158
275,anumax,35,female,No,No,153
276,anumax,35,female,Yes,No,156
277,anumax,35,male,No,Yes,171
278,anumax,35,male,Yes,Yes,174
279,anumax,35,female,No,Yes,168
280,anumax,35,female,Yes,Yes,172
281,anumax,36,male,No,No,160
282,anumax,36,male,Yes,No,163
283,anumax,36,female,No,No,158
284,anumax,36,female,Yes,No,161
285,anumax,36,male,No,Yes,176
286,anumax,36,male,Yes,Yes,179
287,anumax,36,female,No,Yes,174
288,anumax,36,female,Yes,Yes,177
289,anumax,37,male,No,No,165
290,anumax,37,male,Yes,No,168
291,anumax,37,female,No,No,163
292,anumax,37,female,Yes,No,166
293,anumax,37,male,No,Yes,182
294,anumax,37,male,Yes,Yes,185
295,anumax,37,female,No,Yes,179
296,anumax,37,female,Yes,Yes,183
297,anumax,38,male,No,No,170
298,anumax,38,male,Yes,No,173
299,anumax,38,female,No,No,168
300,anumax,38,female,Yes,No,171
301,anumax,38,male,No,Yes,187
302,anumax,38,male,Yes,Yes,190
303,anumax,38,female,No,Yes,185
304,anumax,38,female,Yes,Yes,188
305,anumax,39,male,No,No,176
306,anumax,39,male,Yes,No,179
307,anumax,39,female,No,No,174
308,anumax,39,female,Yes,No,177
309,anumax,39,male,No,Yes,194
310,anumax,39,male,Yes,Yes,197
311,anumax,39,female,No,Yes,191
312,anumax,39,female,Yes,Yes,195
313,anumax,40,male,No,No,182
314,anumax,40,male,Yes,No,186
315,anumax,40,female,No,No,180
316,anumax,40,female,Yes,No,184
317,anumax,40,male,No,Yes,200
318,anumax,40,male,Yes,Yes,205
319,anumax,40,female,No,Yes,198
320,anumax,40,female,Yes,Yes,202
321,anumax,41,male,No,No,190
322,anumax,41,male,Yes,No,194
323,anumax,41,female,No,No,188
324,anumax,41,female,Yes,No,192
325,anumax,41,male,No,Yes,209
326,anumax,41,male,Yes,Yes,213
327,anumax,41,female,No,Yes,207
328,anumax,41,female,Yes,Yes,211
329,anumax,42,male,No,No,198
330,anumax,42,male,Yes,No,202
331,anumax,42,female,No,No,196
332,anumax,42,female,Yes,No,200
333,anumax,42,male,No,Yes,218
334,anumax,42,male,Yes,Yes,222
335,anumax,42,female,No,Yes,216
336,anumax,42,female,Yes,Yes,220
337,anumax,43,male,No,No,206
338,anumax,43,male,Yes,No,210
339,anumax,43,female,No,No,204
340,anumax,43,female,Yes,No,208
341,anumax,43,male,No,Yes,227
342,anumax,43,male,Yes,Yes,231
343,anumax,43,female,No,Yes,224
344,anumax,43,female,Yes,Yes,229
345,anumax,44,male,No,No,215
346,anumax,44,male,Yes,No,219
347,anumax,44,female,No,No,213
348,anumax,44,female,Yes,No,217
349,anumax,44,male,No,Yes,237
350,anumax,44,male,Yes,Yes,241
351,anumax,44,female,No,Yes,234
352,anumax,44,female,Yes,Yes,239
353,anumax,45,male,No,No,225
354,anumax,45,male,Yes,No,230
355,anumax,45,female,No,No,223
356,anumax,45,female,Yes,No,228
357,anumax,45,male,No,Yes,248
358,anumax,45,male,Yes,Yes,253
359,anumax,45,female,No,Yes,245
360,anumax,45,female,Yes,Yes,251
361,anumax,46,male,No,No,236
362,anumax,46,male,Yes,No,241
363,anumax,46,female,No,No,234
364,anumax,46,female,Yes,No,239
365,anumax,46,male,No,Yes,260
366,anumax,46,male,Yes,Yes,265
367,anumax,46,female,No,Yes,257
368,anumax,46,female,Yes,Yes,263
369,anumax,47,male,No,No,247
370,anumax,47,male,Yes,No,252
371,anumax,47,female,No,No,245
372,anumax,47,female,Yes,No,250
373,anumax,47,male,No,Yes,272
374,anumax,47,male,Yes,Yes,277
375,anumax,47,female,No,Yes,270
376,anumax,47,female,Yes,Yes,275
377,anumax,48,male,No,No,259
378,anumax,48,male,Yes,No,264
379,anumax,48,female,No,No,257
380,anumax,48,female,Yes,No,262
381,anumax,48,male,No,Yes,285
382,anumax,48,male,Yes,Yes,290
383,anumax,48,female,No,Yes,283
384,anumax,48,female,Yes,Yes,288
385,anumax,49,male,No,No,272
386,anumax,49,male,Yes,No,278
387,anumax,49,female,No,No,270
388,anumax,49,female,Yes,No,276
389,anumax,49,male,No,Yes,299
390,anumax,49,male,Yes,Yes,306
391,anumax,49,female,No,Yes,297
392,anumax,49,female,Yes,Yes,304
393,anumax,50,male,No,No,286
394,anumax,50,male,Yes,No,292
395,anumax,50,female,No,No,284
396,anumax,50,female,Yes,No,290
397,anumax,50,male,No,Yes,315
398,anumax,50,male,Yes,Yes,321
399,anumax,50,female,No,Yes,312
400,anumax,50,female,Yes,Yes,319
